iteration,Ux_initial,Ux_linear_final,Uy_initial,Uy_linear_final,Uz_initial,Uz_linear_final,p_initial,p_linear_final,epsilon_initial,epsilon_linear_final,k_initial,k_linear_final,continuity_local,continuity_global,continuity_cumulative
25.0,0.01054676287,0.0004802187022,0.02541186475,0.001028595473,0.01084543235,0.0005105105995,0.09475060951,0.002243519188,0.02874509332,0.001338266377,0.03131593857,0.0001531642163,0.03922663416,0.001088876162,-0.007552718064
26.0,0.01139318749,0.0001412011778,0.02452174606,0.001016127354,0.01055856539,0.0005037013456,0.08512294977,0.003897173576,0.02715523193,0.001267946483,0.02991905243,0.0001443930697,0.07166781575,-0.005097416601,-0.01265013467
27.0,0.01206882501,0.0001609145217,0.02353255812,0.0009884612683,0.01032604276,0.0004998592805,0.08487379249,0.003937932773,0.0258713158,0.001207293498,0.02866164363,0.0001371915279,0.06807885606,0.006348564996,-0.006301569669
28.0,0.01241895194,0.0001724776925,0.02225503847,0.0009265537129,0.01011824679,0.0004954717305,0.08063633026,0.00169844163,0.02460997208,0.00115286911,0.02762060123,0.0001306836148,0.02947242221,0.0004708163863,-0.005830753283
29.0,0.01253185539,0.0001757742984,0.02179899739,0.0009279065558,0.009955720278,0.000490685328,0.07474715904,0.001714432113,0.02347261162,0.001103463436,0.02655505811,0.0001246210799,0.03052148161,0.002382036625,-0.003448716658
30.0,0.0123172618,0.0001731953542,0.02205203557,0.0009908611902,0.009843946499,0.0001204954685,0.0706103499,0.001692348236,0.02244424708,0.001050311586,0.02557556796,0.000118869072,0.03027279288,0.003859327304,0.0004106106457
31.0,0.01186408041,0.0001661949928,0.02230868555,0.001044603829,0.009807284259,0.000123127975,0.06791406989,0.001662299863,0.0214508395,0.001005932482,0.02470473608,0.0001136043724,0.02942678189,0.004527315002,0.004937925647
32.0,0.01129441876,0.0001576436895,0.02211272025,0.001058865354,0.009809773485,0.0001260077513,0.06352189911,0.001538416523,0.02064653961,0.0009701999728,0.02387568264,0.0001085963228,0.02788662252,0.0043998428,0.009337768447
33.0,0.01080165445,0.0001505374737,0.02143558154,0.001034143018,0.009808201602,0.0001283214645,0.06548239441,0.001648226721,0.01994950174,0.0009346037617,0.02313822882,0.0001048064816,0.02766465615,0.003081442883,0.01241921133
34.0,0.01045034727,0.0001462582309,0.02043556251,0.0009829249535,0.009787993037,0.0001299110397,0.05760976495,0.001386615506,0.01932114838,0.0009063631805,0.0223896239,0.000101043584,0.0255608814,0.00311307869,0.01553229002
35.0,0.01027730306,0.000145936767,0.01937486054,0.000924915488,0.009753705396,0.0001309671675,0.05665439742,0.001321557498,0.01874766627,0.0008771716756,0.02175689587,9.782235221e-05,0.02372225021,0.002406188545,0.01793847856
36.0,0.01024100869,0.0001483548581,0.01845041491,0.0008732986747,0.009721800828,0.0001317819338,0.05497731918,0.001229394054,0.0182042143,0.0008487816504,0.02117357373,9.483386415e-05,0.02181199696,0.001838239139,0.0197767177
37.0,0.01029462076,0.0001523493913,0.01774079974,0.0008372411635,0.009702794281,0.0001326046603,0.05288345455,0.001122503698,0.0176998409,0.0008263600862,0.02063801308,9.230111681e-05,0.01984996085,0.001479986251,0.02125670395
38.0,0.01038567153,0.0001567346278,0.01726955116,0.0008179357663,0.009693242426,0.000133545953,0.05338269116,0.001093340579,0.01723524214,0.0008034844302,0.02013850456,8.985945881e-05,0.01841682776,0.001180842522,0.02243754648
39.0,0.01048647913,0.0001608582661,0.01698940425,0.0008123180293,0.009687112887,0.0001346099131,0.05282124342,0.001074929634,0.01678757482,0.0007854999637,0.01965863067,8.791993204e-05,0.01768919529,0.0008970387782,0.02333458525
40.0,0.0105716724,0.0001643441956,0.01681366149,0.0008147795894,0.00968523683,0.0001357825658,0.05158144634,0.001078109989,0.0163683567,0.0007634406001,0.01921242531,8.589514712e-05,0.01764399725,0.0006462676937,0.02398085295
41.0,0.0106163812,0.0001667742838,0.01667488133,0.0008196553365,0.009686493428,0.0001369776555,0.04846739199,0.001048935967,0.015967416,0.0007422187393,0.01879183099,8.405647214e-05,0.0177821695,0.0006311214358,0.02461197438
42.0,0.01060534653,0.0001680416996,0.01651467242,0.0008219951947,0.009688136187,0.0001381344085,0.04836456166,0.00108929677,0.0155955817,0.000721720138,0.01838978799,8.21462304e-05,0.01799401504,0.0004578965304,0.02506987091
43.0,0.0105475792,0.0001682407754,0.01630586908,0.0001994042759,0.009688826431,0.0001391959507,0.0467728502,0.001079372075,0.01523910662,0.0007046826854,0.01799575515,8.040209545e-05,0.01793940144,0.0004231556979,0.02549302661
44.0,0.01045907985,0.0001677757098,0.01599182535,0.0001965824944,0.009688178345,0.0001401230938,0.0445752471,0.001044056814,0.01489877861,0.0006863614164,0.01761095534,7.870840019e-05,0.01771656059,0.0004287554029,0.02592178202
45.0,0.01036302883,0.0001670981749,0.01563192506,0.0001925594828,0.009683629637,0.0001408895488,0.04409479167,0.001045172671,0.01455224017,0.0006717761836,0.01723282827,7.705837516e-05,0.01745991826,0.0003763080605,0.02629809008
46.0,0.01027853055,0.0001665562481,0.01527108908,0.0001881999679,0.009671273829,0.0001414841291,0.04346214309,0.001036328323,0.01422626717,0.0006569991661,0.01687913932,7.540212245e-05,0.01709943262,0.000261953167,0.02656004324
47.0,0.01022009909,0.0001663970049,0.0149639846,0.0001843148024,0.009654402706,0.0001419307542,0.04260138229,0.001018253177,0.01393573726,0.0006438794863,0.01655707848,7.410370128e-05,0.01669279659,0.0001592897232,0.02671933297
48.0,0.01018519369,0.0001666791081,0.01471196762,0.0001811793785,0.009631893706,0.0001422685129,0.03189648892,0.0008381003466,0.01368008067,0.0006303533119,0.01625795859,7.267075906e-05,0.01378403694,0.0006490779583,0.02736841092
